
Gurobi 9.5.2 (mac64[arm]) logging started Wed Apr 19 14:19:28 2023

Set parameter LogFile to value "Java/output/pure_mip/scenario_seed_0_nJob_50_machineCount_1/mip_increment_5/log.txt"
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (mac64[arm])
Thread count: 8 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 790 rows, 13500 columns and 58631 nonzeros
Model fingerprint: 0x50de08f6
Variable types: 0 continuous, 13500 integer (13500 binary)
Coefficient statistics:
  Matrix range     [1e+00, 5e+02]
  Objective range  [1e+00, 2e+07]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 1.460934e+08
Presolve added 20 rows and 0 columns
Presolve removed 0 rows and 760 columns
Presolve time: 0.06s
Presolved: 810 rows, 12740 columns, 52991 nonzeros
Variable types: 0 continuous, 12740 integer (12712 binary)
Found heuristic solution: objective 1.067672e+08

Root relaxation: objective 3.171071e+04, 8532 iterations, 0.41 seconds (0.78 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 31950.4994    0  808 34713.0000 31950.4994  7.96%     -   23s
     0     0 31954.8125    0  828 34713.0000 31954.8125  7.95%     -   24s
     0     0 31955.4483    0  832 34713.0000 31955.4483  7.94%     -   24s
     0     0 31955.6811    0  824 34713.0000 31955.6811  7.94%     -   24s
     0     0 31958.8029    0  840 34713.0000 31958.8029  7.93%     -   24s
     0     0 31958.8029    0  814 34713.0000 31958.8029  7.93%     -   24s
H    0     0                    34708.000000 31958.9858  7.92%     -   25s
     0     2 31958.9858    0  802 34708.0000 31958.9858  7.92%     -   26s
    70    79 32381.5983    9  748 34708.0000 31974.6636  7.88%  1084   30s
H   74    79                    34703.000000 31974.6636  7.86%  1057   30s
H   76    79                    34648.000000 31974.6636  7.72%  1058   30s
H  141   155                    34443.000000 31974.6636  7.17%   989   32s
H  184   196                    34123.000000 31974.6636  6.30%   992   34s
H  192   196                    34103.000000 31974.6636  6.24%   990   34s
   211   219 32127.4559   17  721 34103.0000 31974.6636  6.24%  1030   35s
H  232   232                    33988.000000 31974.6636  5.92%  1012   36s
H  274   270                    33968.000000 31974.6636  5.87%  1051   37s
