
Gurobi 9.5.2 (mac64[arm]) logging started Fri Apr 28 20:58:07 2023

Set parameter LogFile to value "Java/output/iterative_model_2_machine/scenario_seed_4_nJob_50_machineCount_2/mip_increment_2/log.txt"
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (mac64[arm])
Thread count: 8 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 1250 rows, 9894 columns and 67994 nonzeros
Model fingerprint: 0xa9eb3057
Variable types: 0 continuous, 9894 integer (9894 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+02]
  Objective range  [2e+01, 4e+06]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 2.640622e+07
Presolve removed 78 rows and 1217 columns
Presolve time: 0.09s
Presolved: 1172 rows, 8677 columns, 59612 nonzeros
Variable types: 0 continuous, 8677 integer (8675 binary)
Found heuristic solution: objective 2.428802e+07

Root relaxation: objective 1.042833e+04, 1957 iterations, 0.07 seconds (0.14 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 17223.7557    0  130 18925.0000 17223.7557  8.99%     -    0s
H    0     0                    18575.000000 17223.7557  7.27%     -    0s
     0     0 17257.0000    0   81 18575.0000 17257.0000  7.10%     -    0s
H    0     0                    18453.000000 17257.0000  6.48%     -    0s
H    0     0                    18409.000000 17257.0000  6.26%     -    0s
     0     0 17287.7500    0   71 18409.0000 17287.7500  6.09%     -    0s
     0     0 17317.4759    0  143 18409.0000 17317.4759  5.93%     -    0s
     0     0 17320.0935    0  133 18409.0000 17320.0935  5.92%     -    0s
     0     0 17320.1111    0  131 18409.0000 17320.1111  5.91%     -    0s
     0     0 17326.0319    0  131 18409.0000 17326.0319  5.88%     -    0s
     0     0 17326.9079    0  144 18409.0000 17326.9079  5.88%     -    0s
     0     0 17326.9091    0  143 18409.0000 17326.9091  5.88%     -    0s
H    0     0                    18182.000000 17326.9091  4.70%     -    0s
     0     0 17332.7500    0  103 18182.0000 17332.7500  4.67%     -    0s
     0     0 17332.7500    0  102 18182.0000 17332.7500  4.67%     -    0s
     0     0 17342.8400    0  159 18182.0000 17342.8400  4.62%     -    0s
H    0     0                    17387.000000 17342.8400  0.25%     -    0s
     0     0     cutoff    0      17387.0000 17387.0000  0.00%     -    0s

Cutting planes:
  Gomory: 5
  Cover: 4
  Clique: 21
  MIR: 30
  StrongCG: 16
  GUB cover: 56
  Zero half: 19
  RLT: 5

Explored 1 nodes (9395 simplex iterations) in 0.82 seconds (1.09 work units)
Thread count was 8 (of 8 available processors)

Solution count 10: 17387 18182 18409 ... 28580

Optimal solution found (tolerance 1.00e-04)
Best objective 1.738700000000e+04, best bound 1.738700000000e+04, gap 0.0000%

Gurobi 9.5.2 (mac64[arm]) logging started Fri Apr 28 20:58:15 2023

Set parameter LogFile to value "Java/output/iterative_model_2_machine/scenario_seed_4_nJob_50_machineCount_2/mip_increment_2/log.txt"
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (mac64[arm])
Thread count: 8 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 2558 rows, 56356 columns and 646791 nonzeros
Model fingerprint: 0x8f45e56f
Variable types: 0 continuous, 56356 integer (56356 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+02]
  Objective range  [5e+00, 4e+06]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]

Warning: Completing partial solution with 56210 unfixed non-continuous variables out of 56356
User MIP start produced solution with objective 45789 (0.04s)
Loaded user MIP start with objective 45789

Presolve removed 106 rows and 6621 columns
Presolve time: 0.76s
Presolved: 2452 rows, 49735 columns, 576219 nonzeros
Variable types: 0 continuous, 49735 integer (49735 binary)
Found heuristic solution: objective 45521.000000

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   23787    1.6419584e+04   2.451726e+04   0.000000e+00      5s
